route_name,start_time,end_time,runtime,in/outbound,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8
Discovery_Park,9:36,10:09,0:33,in,9:55,10:03,10:07,10:08,10:09,,,
Discovery_Park,9:36,10:09,0:33,out,9:36,9:40,9:44,,,,,
Discovery_Park,9:56,10:29,0:33,in,10:15,10:23,10:27,10:28,10:29,,,
Discovery_Park,9:56,10:29,0:33,out,9:56,10:00,10:04,,,,,
Discovery_Park,10:16,10:49,0:33,in,10:35,10:43,10:47,10:48,10:49,,,
Discovery_Park,10:16,10:49,0:33,out,10:16,10:20,10:24,,,,,
Discovery_Park,10:36,11:09,0:33,in,10:55,11:03,11:07,11:08,11:09,,,
Discovery_Park,10:36,11:09,0:33,out,10:36,10:40,10:44,,,,,
Discovery_Park,10:56,11:29,0:33,in,11:15,11:23,11:27,11:28,11:29,,,
Discovery_Park,10:56,11:29,0:33,out,10:56,11:00,11:04,,,,,
Discovery_Park,11:16,11:49,0:33,in,11:35,11:43,11:47,11:48,11:49,,,
Discovery_Park,11:16,11:49,0:33,out,11:16,11:20,11:24,,,,,
Discovery_Park,11:36,12:09,0:33,in,11:55,12:03,12:07,12:08,12:09,,,
Discovery_Park,11:36,12:09,0:33,out,11:36,11:40,11:44,,,,,
Discovery_Park,11:56,12:29,0:33,in,12:15,12:23,12:27,12:28,12:29,,,
Discovery_Park,11:56,12:29,0:33,out,11:56,12:00,12:04,,,,,
Discovery_Park,12:16,12:49,0:33,in,12:35,12:43,12:47,12:48,12:49,,,
Discovery_Park,12:16,12:49,0:33,out,12:16,12:20,12:24,,,,,
Discovery_Park,12:36,13:09,0:33,in,12:55,13:03,13:07,13:08,13:09,,,
Discovery_Park,12:36,13:09,0:33,out,12:36,12:40,12:44,,,,,
Discovery_Park,12:56,1:29,0:33,in,1:15,1:23,1:27,1:28,1:29,,,
Discovery_Park,12:56,1:29,0:33,out,12:56,1:00,1:04,,,,,
Discovery_Park,1:16,1:49,0:33,in,1:35,1:43,1:47,1:48,1:49,,,
Discovery_Park,1:16,1:49,0:33,out,1:16,1:20,1:24,,,,,
Discovery_Park,1:36,2:09,0:33,in,1:55,2:03,2:07,2:08,2:09,,,
Discovery_Park,1:36,2:09,0:33,out,1:36,1:40,1:44,,,,,
Discovery_Park,1:56,2:29,0:33,in,2:15,2:23,2:27,2:28,2:29,,,
Discovery_Park,1:56,2:29,0:33,out,1:56,2:00,2:04,,,,,
Discovery_Park,2:16,2:49,0:33,in,2:35,2:43,2:47,2:48,2:49,,,
Discovery_Park,2:16,2:49,0:33,out,2:16,2:20,2:24,,,,,
Discovery_Park,2:36,3:09,0:33,in,2:55,3:03,3:07,3:08,3:09,,,
Discovery_Park,2:36,3:09,0:33,out,2:36,2:40,2:44,,,,,
Discovery_Park,2:56,3:29,0:33,in,3:15,3:23,3:27,3:28,3:29,,,
Discovery_Park,2:56,3:29,0:33,out,2:56,3:00,3:04,,,,,
Discovery_Park,3:16,3:49,0:33,in,3:36,3:44,3:48,3:49,3:50,,,
Discovery_Park,3:16,3:49,0:33,out,3:16,3:20,3:24,,,,,
Discovery_Park,3:36,4:09,0:33,in,3:55,4:03,4:07,4:08,4:09,,,
Discovery_Park,3:36,4:09,0:33,out,3:36,3:40,3:44,,,,,
Discovery_Park,4:16,4:49,0:33,in,4:35,4:43,4:47,4:48,4:49,,,
Discovery_Park,4:16,4:49,0:33,out,4:16,4:20,4:24,,,,,
Discovery_Park,4:56,5:29,0:33,in,5:15,5:23,5:27,5:28,5:29,,,
Discovery_Park,4:56,5:29,0:33,out,4:56,5:00,5:04,,,,,
Discovery_Park,5:36,6:09,0:33,in,5:55,6:03,6:07,6:08,6:09,,,
Discovery_Park,5:36,6:09,0:33,out,5:36,5:40,5:44,,,,,
Discovery_Park,6:16,6:49,0:33,in,6:36,6:44,6:48,6:49,6:50,,,
Discovery_Park,6:16,6:49,0:33,out,6:16,6:20,6:24,,,,,
Discovery_Park,6:56,7:29,0:33,in,7:15,7:23,7:27,7:28,7:29,,,
Discovery_Park,6:56,7:29,0:33,out,6:56,7:00,7:04,,,,,
Discovery_Park,7:36,8:09,0:33,in,7:55,8:03,8:07,8:08,8:09,,,
Discovery_Park,7:36,8:09,0:33,out,7:36,7:40,7:44,,,,,
Discovery_Park,8:16,8:49,0:33,in,8:35,8:43,8:47,8:48,8:49,,,
Discovery_Park,8:16,8:49,0:33,out,8:16,8:20,8:24,,,,,
Discovery_Park,8:56,9:29,0:33,in,9:15,9:23,9:27,9:28,9:29,,,
Discovery_Park,8:56,9:29,0:33,out,8:56,9:00,9:04,,,,,
Discovery_Park,9:36,10:09,0:33,in,9:55,10:03,10:07,10:08,10:09,,,
Discovery_Park,9:36,10:09,0:33,out,9:36,9:40,9:44,,,,,
Discovery_Park,10:16,10:49,0:33,in,10:35,10:43,10:47,10:48,10:49,,,
Discovery_Park,10:16,10:49,0:33,out,10:16,10:20,10:24,,,,,
Eagle_Point,7:23,7:45,0:22,in,7:36,7:41,7:43,7:44,7:45,,,
Eagle_Point,7:23,7:45,0:22,out,7:23,7:26,,,,,,
Eagle_Point,7:53,8:15,0:22,in,8:06,8:11,8:13,8:14,8:15,,,
Eagle_Point,7:53,8:15,0:22,out,7:53,7:56,,,,,,
Eagle_Point,8:23,8:45,0:22,in,8:36,8:41,8:43,8:44,8:45,,,
Eagle_Point,8:23,8:45,0:22,out,8:23,8:26,,,,,,
Eagle_Point,9:00,9:22,0:22,in,9:13,9:18,9:20,9:21,9:22,,,
Eagle_Point,9:00,9:22,0:22,out,9:00,9:03,,,,,,
Eagle_Point,9:30,9:52,0:22,in,9:43,9:48,9:50,9:51,9:52,,,
Eagle_Point,9:30,9:52,0:22,out,9:30,9:33,,,,,,
Eagle_Point,10:00,10:22,0:22,in,10:13,10:18,10:20,10:21,10:22,,,
Eagle_Point,10:00,10:22,0:22,out,10:00,10:03,,,,,,
Eagle_Point,10:40,11:02,0:22,in,10:53,10:58,11:00,11:01,11:02,,,
Eagle_Point,10:40,11:02,0:22,out,10:40,10:43,,,,,,
Eagle_Point,11:13,11:35,0:22,in,11:26,11:31,11:33,11:34,11:35,,,
Eagle_Point,11:13,11:35,0:22,out,11:13,11:16,,,,,,
Eagle_Point,11:46,12:08,0:22,in,11:59,12:04,12:06,12:07,12:08,,,
Eagle_Point,11:46,12:08,0:22,out,11:46,11:49,,,,,,
Eagle_Point,12:26,12:48,0:22,in,12:39,12:44,12:46,12:47,12:48,,,
Eagle_Point,12:26,12:48,0:22,out,12:26,12:29,,,,,,
Eagle_Point,12:59,13:21,0:22,in,1:12,1:17,1:19,1:20,1:21,,,
Eagle_Point,12:59,13:21,0:22,out,12:59,13:02,,,,,,
Eagle_Point,1:32,1:54,0:22,in,1:45,1:50,1:52,1:53,1:54,,,
Eagle_Point,1:32,1:54,0:22,out,1:32,1:35,,,,,,
Eagle_Point,2:12,2:34,0:22,in,2:25,2:30,2:32,2:33,2:34,,,
Eagle_Point,2:12,2:34,0:22,out,2:12,2:15,,,,,,
Eagle_Point,2:45,3:07,0:22,in,2:58,3:03,3:05,3:06,3:07,,,
Eagle_Point,2:45,3:07,0:22,out,2:45,2:48,,,,,,
Eagle_Point,3:18,3:40,0:22,in,3:31,3:36,3:38,3:39,3:40,,,
Eagle_Point,3:18,3:40,0:22,out,3:18,3:21,,,,,,
Eagle_Point,3:51,4:13,0:22,in,4:04,4:09,4:11,4:12,4:13,,,
Eagle_Point,3:51,4:13,0:22,out,3:51,3:54,,,,,,
Eagle_Point,4:24,4:46,0:22,in,4:37,4:42,4:44,4:45,4:46,,,
Eagle_Point,4:24,4:46,0:22,out,4:24,4:27,,,,,,
Eagle_Point,4:57,5:19,0:22,in,5:10,5:15,5:17,5:18,5:19,,,
Eagle_Point,4:57,5:19,0:22,out,4:57,5:00,,,,,,
North_Texan,7:00,7:14,0:14,in,7:02,,,,,,,
North_Texan,7:00,7:14,0:14,out,7:14,,,,,,,
North_Texan,7:28,7:42,0:14,in,7:30,,,,,,,
North_Texan,7:28,7:42,0:14,out,7:42,,,,,,,
North_Texan,7:56,8:10,0:14,in,7:58,,,,,,,
North_Texan,7:56,8:10,0:14,out,8:10,,,,,,,
North_Texan,8:24,8:38,0:14,in,8:26,,,,,,,
North_Texan,8:24,8:38,0:14,out,8:38,,,,,,,
North_Texan,8:52,9:06,0:14,in,8:54,,,,,,,
North_Texan,8:52,9:06,0:14,out,9:06,,,,,,,
North_Texan,9:20,9:34,0:14,in,9:22,,,,,,,
North_Texan,9:20,9:34,0:14,out,9:34,,,,,,,
North_Texan,9:48,10:02,0:14,in,9:50,,,,,,,
North_Texan,9:48,10:02,0:14,out,10:02,,,,,,,
North_Texan,10:16,10:30,0:14,in,10:18,,,,,,,
North_Texan,10:16,10:30,0:14,out,10:30,,,,,,,
North_Texan,10:44,10:58,0:14,in,10:46,,,,,,,
North_Texan,10:44,10:58,0:14,out,10:58,,,,,,,
